power,rounds,threshold,pearson,spearman
2,3,0.3,"[0.8357332159615862, 0.8357332159615862, 0.8357332159615862]","[0.8602782376695233, 0.8602782376695233, 0.8602782376695233]"
2,3,0.5,"[0.8289293022355528, 0.8289293022355528, 0.8289293022355528]","[0.8540659494456637, 0.8540659494456637, 0.8540659494456637]"
2,3,0.7,"[0.8104514048310482, 0.8104514048310482, 0.8104514048310482]","[0.8419536353472409, 0.8419536353472409, 0.8419536353472409]"
2,5,0.05,"[0.8352823258971369, 0.8352823258971369, 0.8352823258971369]","[0.8609356377682188, 0.8609356377682188, 0.8609356377682188]"
2,5,0.1,"[0.8365872451516088, 0.8365872451516088, 0.8365872451516088]","[0.8616338504168183, 0.8616338504168183, 0.8616338504168183]"
2,5,0.2,"[0.8388376431398936, 0.8388376431398936, 0.8388376431398936]","[0.8630029261518786, 0.8630029261518786, 0.8630029261518786]"
2,5,0.3,"[0.8308106299557635, 0.8308106299557635, 0.8308106299557635]","[0.8562333645447304, 0.8562333645447304, 0.8562333645447304]"
2,5,0.5,"[0.8260285834892929, 0.8260285834892929, 0.8260285834892929]","[0.8520011563937343, 0.8520011563937343, 0.8520011563937343]"
2,5,0.7,"[0.7712491644407042, 0.7712491644407042, 0.7712491644407042]","[0.8220371121127827, 0.8220371121127827, 0.8220371121127827]"
2,10,0.05,"[0.8304391606361785, 0.8304391606361785, 0.8304391606361785]","[0.8561283056573967, 0.8561283056573967, 0.8561283056573967]"
2,10,0.1,"[0.8380750873969691, 0.8380750873969691, 0.8380750873969691]","[0.8621492998532895, 0.8621492998532895, 0.8621492998532895]"
2,10,0.2,"[0.8360095442251252, 0.8360095442251252, 0.8360095442251252]","[0.8599120339540993, 0.8599120339540993, 0.8599120339540993]"
2,10,0.3,"[0.8292202659907597, 0.8292202659907597, 0.8292202659907597]","[0.8546178923356027, 0.8546178923356027, 0.8546178923356027]"
2,10,0.5,"[0.8238660879912972, 0.8238660879912972, 0.8238660879912972]","[0.8495597155649753, 0.8495597155649753, 0.8495597155649753]"
